"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20828.6","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20843.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20670.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20768.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20758.0","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2598.2","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2615.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2552.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2574.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2575.3","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18230.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18227.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18117.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18194.2","","","","1"
